cycle_id,total_seed,size,weight,harvested,SR
12361,66000,91.0,125.36,11407.76,17.284484848484848
12361,66000,77.0,115.33,8880.41,13.455166666666665
16042,240000,65.0,729.77,47435.049999999996,19.764604166666665
16042,240000,188.0,29.84,5609.92,2.337466666666667
16042,240000,40.0,778.28,31131.199999999997,12.971333333333332
16042,240000,75.0,35.13,2634.75,1.0978125
16042,240000,150.0,13.93,2089.5,0.8706250000000001
16042,240000,80.0,74.62,5969.6,2.4873333333333334
16042,240000,40.0,601.66,24066.399999999998,10.027666666666665
16042,240000,188.0,5.0,940.0,0.39166666666666666
14328,130000,66.0,493.7,32584.2,25.06476923076923
14328,130000,34.3,3127.0,107256.09999999999,82.5046923076923
10028,55000,131.0,156.0,20436.0,37.156363636363636
10028,55000,86.0,150.0,12900.0,23.454545454545457
10028,55000,53.0,491.0,26023.0,47.31454545454545
20949,60000,160.0,100.0,16000.0,26.666666666666668
20949,60000,143.0,100.0,14300.0,23.833333333333336
20949,60000,108.0,100.0,10800.0,18.0
20949,60000,108.0,50.0,5400.0,9.0
28408,442350,20.0,8750.0,175000.0,39.56143325421046
16155,161356,116.6,278.6,32484.760000000002,20.132353305733908
16155,161356,116.6,35.91,4187.106,2.5949490567440936
16155,161356,116.6,4.0,466.4,0.28905029871836185
23068,280000,100.0,2100.0,210000.0,75.0
27755,332280,60.6,808.0,48964.8,14.736005778259301
27755,332280,47.1,952.5,44862.75,13.501489707475622
27755,332280,44.8,966.2,43285.76,13.026892981822561
27755,332280,42.4,3726.84,158018.016,47.55568075117371
28066,156086,198.0,18.24,3611.5199999999995,2.3138013659136627
28066,156086,89.59,1612.56,144469.2504,92.55746857501633
17625,81561,100.8,7.4,745.92,0.9145547504321918
17625,81561,100.8,265.9,26802.719999999998,32.862176775664835
17625,81561,96.6,271.2,26197.92,32.12064589693603
17625,81561,96.6,18.9,1825.7399999999998,2.2384963401625777
23913,678180,235.0,1289.0,302915.0,44.665870417883156
23913,678180,224.0,2574.0,576576.0,85.01813677784659
27187,200000,160.0,62.0,9920.0,4.96
27187,200000,95.0,542.0,51490.0,25.745
20982,208898,75.0,231.5,17362.5,8.311472584706411
20982,208898,58.0,214.3,12429.400000000001,5.949985160221736
20982,208898,48.2,338.56,16318.592,7.811751189575775
20982,208898,40.7,1789.9,72848.93000000001,34.872966711026436
24506,250000,168.0,255.0,42840.0,17.136000000000003
24506,250000,126.0,454.0,57204.0,22.8816
24506,250000,91.0,384.0,34944.0,13.9776
24506,250000,73.0,555.0,40515.0,16.206
24506,250000,45.0,488.0,21960.0,8.784
24506,250000,34.0,451.0,15334.0,6.1336
24506,250000,30.0,1517.0,45510.0,18.204
25601,341360,67.0,3694.0,247498.0,72.50351535036326
12482,150000,148.0,540.0,79920.0,53.28000000000001
25901,199562,81.0,134.9,10926.9,5.475441216263617
8687,18000,200.0,70.0,14000.0,77.77777777777779
12937,50000,160.0,85.0,13600.0,27.200000000000003
12596,40000,100.0,160.0,16000.0,40.0
19372,333400,113.37,317.52,35997.2424,10.797013317336534
19372,333400,113.37,25.25,2862.5925,0.8586060287942412
19372,333400,99.63,2780.21,276992.3223,83.08108047390522
19372,333400,99.63,248.51,24759.0513,7.426230143971206
27881,262140,205.0,223.0,45715.0,17.43915465018692
27881,262140,134.0,375.0,50250.0,19.169146257724883
27881,262140,115.0,1090.0,125350.0,47.81795986877241
20671,325000,91.0,658.17,59893.469999999994,18.428759999999997
20671,325000,200.0,0.07,14.000000000000002,0.004307692307692308
20671,325000,91.0,0.39,35.49,0.010920000000000001
20671,325000,91.0,0.11,10.01,0.00308
20671,325000,78.0,666.84,52013.520000000004,16.00416
20671,325000,150.0,2.85,427.5,0.13153846153846155
20671,325000,58.0,212.0,12296.0,3.7833846153846156
20671,325000,58.0,8.29,480.81999999999994,0.14794461538461537
20671,325000,49.0,1720.88,84323.12000000001,25.94557538461539
20671,325000,72.0,134.44,9679.68,2.978363076923077
20671,325000,49.0,123.99,6075.509999999999,1.8693876923076922
23123,199708,60.9,459.68,27994.512,14.017721873935946
23123,199708,60.9,5.0,304.5,0.15247261001061552
19555,200000,102.3,614.2,62832.66,31.416330000000002
19555,200000,102.3,36.8,3764.6399999999994,1.8823199999999998
19555,200000,64.0,861.3,55123.2,27.5616
19555,200000,64.0,13.0,832.0,0.416
19555,200000,51.2,1466.6,75089.92,37.544959999999996
19555,200000,51.2,60.5,3097.6000000000004,1.5488000000000002
19555,200000,50.0,8.0,400.0,0.2
28305,40000,200.0,150.0,30000.0,75.0
28305,40000,200.0,135.0,27000.0,67.5
20615,240000,121.55,1300.21,158040.5255,65.85021895833333
26690,75000,300.0,275.0,82500.0,110.00000000000001
26062,110631,57.0,177.0,10089.0,9.1195053827589
26062,110631,49.0,174.0,8526.0,7.7067006535238765
26062,110631,42.0,203.5,8547.0,7.725682674837975
26062,110631,35.0,680.0,23800.0,21.51295748931131
26062,110631,35.0,1883.74,65930.9,59.59532138369896
26062,110631,57.0,177.0,10089.0,9.1195053827589
26062,110631,49.0,174.0,8526.0,7.7067006535238765
26062,110631,42.0,203.5,8547.0,7.725682674837975
26062,110631,35.0,680.0,23800.0,21.51295748931131
26062,110631,35.0,1883.74,65930.9,59.59532138369896
26244,501500,73.33,699.5,51294.335,10.228182452642073
26244,501500,156.0,30.35,4734.6,0.9440877367896311
26244,501500,57.16,5237.7,299386.932,59.69829152542372
26244,501500,116.0,110.45,12812.2,2.554775672981057
24987,210000,80.0,2500.0,200000.0,95.23809523809523
12978,50000,125.0,120.0,15000.0,30.0
12978,50000,84.0,130.0,10920.0,21.84
19433,250000,33.2,5170.0,171644.00000000003,68.6576
11637,30000,150.0,60.0,9000.0,30.0
11637,30000,115.0,110.0,12650.0,42.16666666666667
16483,60000,120.0,250.0,30000.0,50.0
24093,343215,74.82,873.72,65371.73039999999,19.046874524714827
24093,343215,155.0,3.78,585.9,0.17070932214501114
24093,343215,90.0,3.16,284.40000000000003,0.08286351121017439
24093,343215,48.3,2566.84,123978.372,36.12265547834448
24093,343215,100.0,14.58,1458.0,0.42480660810279275
24093,343215,54.0,56.26,3038.04,0.8851711026615969
17575,233869,160.0,405.0,64800.0,27.707819334755783
17575,233869,118.0,419.0,49442.0,21.140895116496843
17575,233869,92.0,425.0,39100.0,16.718761357854184
17575,233869,84.5,405.0,34222.5,14.633192086167899
17575,233869,67.0,685.0,45895.0,19.6242340797626
19484,200000,95.8,753.4,72175.72,36.08786
19484,200000,95.8,15.0,1437.0,0.7185
19484,200000,57.0,893.58,50934.060000000005,25.46703
19484,200000,39.0,1700.7,66327.3,33.16365
19484,200000,39.0,92.4,3603.6000000000004,1.8018000000000003
23850,93832,115.0,153.0,17595.0,18.75159860175633
23850,93832,115.0,3.0,345.0,0.3676784039560065
23850,93832,109.0,516.0,56244.0,59.94117145536704
23850,93832,145.3,29.0,4213.700000000001,4.4906854804331156
20294,300000,24.8,5798.8,143810.24000000002,47.93674666666667
20953,150000,400.0,50.0,20000.0,13.333333333333334
20953,150000,310.0,110.0,34100.0,22.733333333333334
20953,150000,200.0,50.0,10000.0,6.666666666666667
20953,150000,190.0,135.0,25650.0,17.1
23110,281410,107.5,227.08,24411.100000000002,8.674567357236773
23110,281410,80.2,528.04,42348.808,15.04879286450375
23110,281410,77.9,361.67,28174.093000000004,10.011759710031628
23110,281410,63.6,1628.84,103594.224,36.812559610532674
23110,281410,63.6,245.0,15582.0,5.537116662520877
23381,405904,53.5,5848.43,312891.005,77.08497698963302
23381,405904,53.5,10.03,536.605,0.13219997831999686
23381,405904,53.5,35.79,1914.7649999999999,0.47172853679687804
23381,405904,53.5,15.0,802.5,0.19770684693917773
23381,405904,53.5,32.0,1712.0,0.4217746068035792
20943,75000,200.0,90.0,18000.0,24.0
28054,67000,300.0,40.0,12000.0,17.91044776119403
23823,275000,22.9,3280.0,75112.0,27.313454545454547
23823,275000,22.9,3280.0,75112.0,27.313454545454547
11422,20000,150.0,150.0,22500.0,112.5
16636,330000,160.0,666.8,106688.0,32.32969696969697
11741,100000,80.0,183.0,14640.0,14.64
11741,100000,80.0,30.0,2400.0,2.4
27558,100000,160.0,100.0,16000.0,16.0
27558,100000,123.0,150.0,18450.0,18.45
27558,100000,85.0,150.0,12750.0,12.75
27558,100000,68.0,150.0,10200.0,10.2
27558,100000,50.0,150.0,7500.0,7.5
27558,100000,37.0,150.0,5550.0,5.55
27558,100000,33.0,750.0,24750.0,24.75
26251,500800,55.97,1524.25,85312.27249999999,17.035198182907347
26251,500800,86.0,37.75,3246.5,0.6482627795527157
26251,500800,46.63,4678.85,218174.77550000002,43.56525069888179
26251,500800,102.0,172.45,17589.899999999998,3.512360223642172
26251,500800,46.63,143.45,6689.0734999999995,1.3356776158146964
7157,400000,334.0,657.0,219438.0,54.859500000000004
24445,250000,120.0,2700.0,324000.0,129.6
25581,25500,160.0,30.0,4800.0,18.823529411764707
14437,114000,61.0,378.5,23088.5,20.253070175438598
14437,114000,70.0,10.0,700.0,0.6140350877192983
14437,114000,70.0,43.6,3052.0,2.6771929824561407
14437,114000,45.0,327.4,14732.999999999998,12.923684210526314
14437,114000,67.0,73.05,4894.349999999999,4.29328947368421
14437,114000,90.0,19.0,1710.0,1.5
14437,114000,39.0,340.0,13260.0,11.631578947368421
14437,114000,33.0,1.0,33.0,0.028947368421052635
14437,114000,39.0,1.0,39.0,0.03421052631578947
14437,114000,53.0,7.0,371.0,0.3254385964912281
14437,114000,53.0,25.0,1325.0,1.162280701754386
14437,114000,53.0,76.0,4028.0,3.5333333333333337
14437,114000,53.0,76.0,4028.0,3.5333333333333337
14437,114000,39.0,1.0,39.0,0.03421052631578947
16272,85000,65.0,150.0,9750.0,11.470588235294118
19247,270000,79.53,615.88,48980.9364,18.141087555555554
19247,270000,140.0,51.04,7145.599999999999,2.6465185185185183
19247,270000,71.07,1413.94,100488.71579999999,37.21804288888889
19247,270000,130.0,263.8,34294.0,12.70148148148148
19247,270000,96.0,80.39,7717.4400000000005,2.8583111111111115
17436,96000,100.0,201.45,20145.0,20.984375
17436,96000,120.0,5.5,660.0,0.6875
17436,96000,140.0,52.55,7357.0,7.663541666666666
9994,100000,170.0,93.0,15810.0,15.809999999999999
18831,270000,166.0,280.86,46622.76,17.26768888888889
18831,270000,255.0,20.0,5100.0,1.8888888888888888
18831,270000,167.0,291.72,48717.240000000005,18.043422222222226
18831,270000,185.0,305.0,56425.0,20.89814814814815
10408,100000,220.0,525.0,115500.0,115.5
24045,325000,115.0,832.5,95737.5,29.457692307692305
24045,325000,200.0,426.12,85224.0,26.222769230769234
26683,1200000,13.87,408.5,5665.8949999999995,0.4721579166666667
26683,1200000,12.5,544.0,6800.0,0.5666666666666667
26683,1200000,52.0,1983.0,103116.0,8.593
26683,1200000,80.0,544.0,43520.0,3.626666666666667
26683,1200000,154.0,157.5,24255.0,2.02125
26683,1200000,49.0,122.0,5978.0,0.49816666666666665
26683,1200000,103.0,104.0,10712.0,0.8926666666666666
26683,1200000,53.0,25.0,1325.0,0.11041666666666668
26683,1200000,49.0,1246.0,61054.0,5.087833333333333
26683,1200000,47.0,2980.0,140060.0,11.671666666666667
17736,277550,100.0,215.0,21500.0,7.746352008647091
17736,277550,100.0,0.6,60.0,0.021617726535759323
17736,277550,79.2,196.77,15584.184000000001,5.614910466582598
17736,277550,79.2,1.92,152.064,0.05478796613222843
17736,277550,68.22,323.08,22040.5176,7.941098036389839
17736,277550,68.22,5.29,360.8838,0.13002478832642766
17736,277550,54.8,2968.38,162667.224,58.608259412718425
